0,1
001medal.jpg,Circle
007.jpg,Font
024man.jpg,Triangle
101719.jpg,Font
green.jpg,Circle
lld_1.jpg,Triangle
lld_10.jpg,Circle
lld_100.jpg,Triangle
lld_1000.jpg,Triangle
lld_10000.jpg,Circle
lld_10001.jpg,Circle
lld_10002.jpg,Triangle
lld_10003.jpg,Font
lld_10004.jpg,Triangle
lld_10005.jpg,Triangle
lld_10006.jpg,Circle
lld_10007.jpg,Font
lld_10008.jpg,Circle
lld_10009.jpg,Circle
lld_1001.jpg,Circle
lld_10010.jpg,Circle
lld_10011.jpg,Circle
lld_10012.jpg,Triangle
lld_10013.jpg,Triangle
lld_10014.jpg,Triangle
lld_10015.jpg,Triangle
lld_10016.jpg,Circle
lld_10017.jpg,Font
lld_10018.jpg,Triangle
lld_10019.jpg,Circle
lld_1002.jpg,Triangle
lld_10020.jpg,Circle
lld_10021.jpg,Font
lld_10022.jpg,Triangle
lld_10023.jpg,Circle
lld_10024.jpg,Font
lld_10025.jpg,Circle
lld_10026.jpg,Circle
lld_10027.jpg,Circle
lld_10028.jpg,Circle
lld_10029.jpg,Triangle
lld_1003.jpg,Font
lld_10030.jpg,Font
lld_10031.jpg,Circle
lld_10032.jpg,Font
lld_10033.jpg,Circle
lld_10034.jpg,Triangle
lld_10035.jpg,Font
lld_10036.jpg,Circle
lld_10037.jpg,Triangle
lld_10038.jpg,Font
lld_10039.jpg,Font
lld_1004.jpg,Font
lld_10040.jpg,Circle
lld_10041.jpg,Triangle
lld_10042.jpg,Font
lld_10043.jpg,Triangle
lld_10044.jpg,Circle
lld_10045.jpg,Circle
lld_10046.jpg,Font
lld_10047.jpg,Circle
lld_10048.jpg,Triangle
lld_10049.jpg,Circle
lld_1005.jpg,Circle
lld_10050.jpg,Circle
lld_10051.jpg,Triangle
lld_10052.jpg,Circle
lld_10053.jpg,Font
lld_10054.jpg,Circle
lld_10055.jpg,Circle
lld_10056.jpg,Circle
lld_10057.jpg,Circle
lld_10058.jpg,Font
lld_10059.jpg,Triangle
lld_1006.jpg,Triangle
lld_10060.jpg,Triangle
lld_10061.jpg,Triangle
lld_10062.jpg,Circle
lld_10063.jpg,Font
lld_10064.jpg,Font
lld_10065.jpg,Triangle
lld_10066.jpg,Font
lld_10067.jpg,Circle
lld_10068.jpg,Circle
lld_10069.jpg,Font
lld_1007.jpg,Circle
lld_10070.jpg,Font
lld_10071.jpg,Triangle
lld_10072.jpg,Font
lld_10073.jpg,Triangle
lld_10074.jpg,Circle
lld_10075.jpg,Triangle
lld_10076.jpg,Font
lld_10077.jpg,Triangle
lld_10078.jpg,Circle
lld_10079.jpg,Triangle
