Name,cluster
001medal.jpg,Serveware
007.jpg,Serveware
024man.jpg,Serveware
101719.jpg,Serveware
green.jpg,Art
lld_1.jpg,Art
lld_10.jpg,Serveware
lld_100.jpg,Serveware
lld_1000.jpg,Serveware
lld_10000.jpg,Art
lld_10001.jpg,Art
lld_10002.jpg,Serveware
lld_10003.jpg,Serveware
lld_10004.jpg,Serveware
lld_10005.jpg,Serveware
lld_10006.jpg,Art
lld_10007.jpg,Art
lld_10008.jpg,Art
lld_10009.jpg,Serveware
lld_1001.jpg,Art
lld_10010.jpg,Art
lld_10011.jpg,Art
lld_10012.jpg,Serveware
lld_10013.jpg,Serveware
lld_10014.jpg,Serveware
lld_10015.jpg,Serveware
lld_10016.jpg,Art
lld_10017.jpg,Art
lld_10018.jpg,Serveware
lld_10019.jpg,Art
lld_1002.jpg,Art
lld_10020.jpg,Art
lld_10021.jpg,Serveware
lld_10022.jpg,Serveware
lld_10023.jpg,Art
lld_10024.jpg,Art
lld_10025.jpg,Serveware
lld_10026.jpg,Art
lld_10027.jpg,Art
lld_10028.jpg,Serveware
lld_10029.jpg,Serveware
lld_1003.jpg,Serveware
lld_10030.jpg,Art
lld_10031.jpg,Art
lld_10032.jpg,Serveware
lld_10033.jpg,Art
lld_10034.jpg,Serveware
lld_10035.jpg,Serveware
lld_10036.jpg,Art
lld_10037.jpg,Serveware
lld_10038.jpg,Art
lld_10039.jpg,Serveware
lld_1004.jpg,Serveware
lld_10040.jpg,Art
lld_10041.jpg,Serveware
lld_10042.jpg,Serveware
lld_10043.jpg,Serveware
lld_10044.jpg,Art
lld_10045.jpg,Art
lld_10046.jpg,Serveware
lld_10047.jpg,Art
lld_10048.jpg,Serveware
lld_10049.jpg,Art
lld_1005.jpg,Art
lld_10050.jpg,Art
lld_10051.jpg,Serveware
lld_10052.jpg,Art
lld_10053.jpg,Serveware
lld_10054.jpg,Art
lld_10055.jpg,Serveware
lld_10056.jpg,Art
lld_10057.jpg,Art
lld_10058.jpg,Art
lld_10059.jpg,Serveware
lld_1006.jpg,Serveware
lld_10060.jpg,Art
lld_10061.jpg,Vehicle
lld_10062.jpg,Art
lld_10063.jpg,Art
lld_10064.jpg,Serveware
lld_10065.jpg,Serveware
lld_10066.jpg,Art
lld_10067.jpg,Art
lld_10068.jpg,Art
lld_10069.jpg,Serveware
lld_1007.jpg,Art
lld_10070.jpg,Serveware
lld_10071.jpg,Serveware
lld_10072.jpg,T-shirt
lld_10073.jpg,Art
lld_10074.jpg,Art
lld_10075.jpg,Art
lld_10076.jpg,Serveware
lld_10077.jpg,Serveware
lld_10078.jpg,Art
lld_10079.jpg,Serveware
lld_1008.jpg,Art
lld_10080.jpg,Serveware
lld_10081.jpg,Serveware
lld_10082.jpg,Art
lld_10083.jpg,Serveware
lld_10084.jpg,Serveware
lld_10085.jpg,Art
lld_10086.jpg,Serveware
lld_10087.jpg,Serveware
lld_10088.jpg,Art
lld_10089.jpg,T-shirt
lld_1009.jpg,Art
lld_10090.jpg,Serveware
lld_10091.jpg,Serveware
lld_10092.jpg,Art
lld_10093.jpg,Serveware
lld_10094.jpg,Serveware
lld_10095.jpg,Art
lld_10096.jpg,Art
lld_10097.jpg,Serveware
lld_10098.jpg,Art
lld_10099.jpg,Serveware
lld_101.jpg,Serveware
lld_1010.jpg,Serveware
lld_10100.jpg,Art
lld_10101.jpg,Art
lld_10102.jpg,Serveware
lld_10103.jpg,Art
lld_10104.jpg,Serveware
lld_10105.jpg,Art
lld_10106.jpg,Serveware
lld_10107.jpg,Art
lld_10108.jpg,Art
lld_10109.jpg,Art
lld_1011.jpg,Art
lld_10110.jpg,Serveware
lld_10111.jpg,Art
lld_10112.jpg,Serveware
lld_10113.jpg,Serveware
lld_10114.jpg,Art
lld_10115.jpg,Serveware
lld_10116.jpg,Art
lld_10117.jpg,Art
lld_10118.jpg,Art
lld_10119.jpg,Art
lld_1012.jpg,Serveware
lld_10120.jpg,Art
lld_10121.jpg,Art
lld_10122.jpg,Art
lld_10123.jpg,Serveware
lld_10124.jpg,Art
lld_10125.jpg,Art
lld_10126.jpg,Art
lld_10127.jpg,Art
lld_10128.jpg,Serveware
lld_10129.jpg,Serveware
lld_1013.jpg,Serveware
lld_10130.jpg,Serveware
lld_10131.jpg,Art
lld_10132.jpg,Art
lld_10133.jpg,Serveware
lld_10134.jpg,Art
lld_10135.jpg,Serveware
lld_10136.jpg,Serveware
lld_10137.jpg,Art
lld_10138.jpg,Art
lld_10139.jpg,Serveware
lld_1014.jpg,Art
lld_10140.jpg,Art
lld_10141.jpg,Serveware
lld_10142.jpg,Serveware
lld_10143.jpg,Serveware
lld_10144.jpg,Serveware
lld_10145.jpg,Terrestrial animal
lld_10146.jpg,Vehicle
lld_10147.jpg,Serveware
lld_10148.jpg,Art
lld_10149.jpg,Serveware
lld_1015.jpg,Art
lld_10150.jpg,Serveware
lld_10151.jpg,Terrestrial animal
