Company,Pictogram,Text,Face,TextArea,category
lld_10430,False,False,False,0.0,Abstract mark
logo_8319,True,True,False,0.1958984375,Combination mark
logo_12959,False,True,False,0.494140625,Combination mark
lld_21835,False,False,False,0.0,Abstract mark
lld_36391,False,False,False,0.0,Abstract mark
lld_19372,False,False,True,0.0,Mascot logo
logo_12781,False,False,False,0.0,Abstract mark
lld_16041,False,False,False,0.0,Abstract mark
lld_30938,True,False,False,0.0,Pictorial mark
logo_6334,True,True,False,0.037060546875,Combination mark
lld_26182,True,False,False,0.0,Pictorial mark
logo_9007,False,False,False,0.0,Abstract mark
lld_2187,False,False,False,0.0,Abstract mark
lld_12227,False,False,False,0.0,Abstract mark
logo_2152,False,False,False,0.0,Abstract mark
lld_15548,False,False,False,0.0,Abstract mark
lld_6,False,False,False,0.0,Abstract mark
logo_11288,False,True,False,0.0794921875,Combination mark
lld_420,False,False,False,0.0,Abstract mark
lld_35698,False,False,False,0.0,Abstract mark
logo_10196,False,True,False,0.2676953125,Combination mark
lld_14656,True,False,False,0.0,Pictorial mark
lld_34586,True,False,False,0.0,Pictorial mark
lld_3299,False,False,False,0.0,Abstract mark
logo_4523,False,False,False,0.0,Abstract mark
lld_35840,False,False,False,0.0,Abstract mark
lld_24795,False,False,False,0.0,Abstract mark
lld_5830,False,False,False,0.0,Abstract mark
lld_13139,False,False,False,0.0,Abstract mark
logo_4245,False,False,False,0.0,Abstract mark
lld_2839,False,False,False,0.0,Abstract mark
lld_14130,True,False,False,0.0,Pictorial mark
lld_32849,False,False,False,0.0,Abstract mark
lld_4290,True,False,False,0.0,Pictorial mark
lld_22482,True,False,False,0.0,Pictorial mark
logo_2634,False,False,True,0.0,Mascot logo
lld_346,False,False,False,0.0,Abstract mark
lld_13887,False,False,False,0.0,Abstract mark
logo_10828,True,False,False,0.0,Pictorial mark
lld_23944,False,False,False,0.0,Abstract mark
lld_32691,False,False,False,0.0,Abstract mark
lld_12541,False,False,False,0.0,Abstract mark
logo_68,False,True,False,0.36548828125000005,Combination mark
logo_6452,False,False,False,0.0,Abstract mark
lld_11048,False,False,False,0.0,Abstract mark
lld_7941,False,False,False,0.0,Abstract mark
lld_31398,False,True,True,1.39662109375,Combination mark
logo_9761,False,False,False,0.0,Abstract mark
lld_6487,True,False,False,0.0,Pictorial mark
logo_7994,False,True,False,0.46875,Combination mark
lld_19414,False,False,False,0.0,Abstract mark
lld_28811,False,False,False,0.0,Abstract mark
lld_16727,False,False,False,0.0,Abstract mark
lld_7799,False,False,False,0.0,Abstract mark
lld_20295,True,False,False,0.0,Pictorial mark
lld_17439,False,False,False,0.0,Abstract mark
lld_10356,False,False,False,0.0,Abstract mark
logo_14496,False,True,False,0.129287109375,Combination mark
lld_30086,False,True,False,0.686162109375,Wordmark
lld_7955,False,False,False,0.0,Abstract mark
logo_6446,False,False,False,0.0,Abstract mark
logo_9775,False,False,False,0.0,Abstract mark
lld_19400,False,False,False,0.0,Abstract mark
logo_7980,False,False,False,0.0,Abstract mark
lld_6493,False,False,False,0.0,Abstract mark
logo_1329,False,True,False,0.6912109375,Wordmark
lld_16733,False,False,False,0.0,Abstract mark
lld_28805,False,False,False,0.0,Abstract mark
lld_26828,False,True,False,0.976142578125,Wordmark
lld_20281,False,False,False,0.0,Abstract mark
logo_7758,False,True,False,0.880849609375,Wordmark
logo_14482,True,True,False,0.11424804687500001,Combination mark
lld_10342,False,False,False,0.0,Abstract mark
lld_30092,False,False,False,0.0,Abstract mark
lld_9978,False,False,False,0.0,Abstract mark
logo_4251,False,False,False,0.0,Abstract mark
lld_23788,False,False,False,0.0,Abstract mark
lld_14124,False,False,False,0.0,Abstract mark
lld_4284,False,False,False,0.0,Abstract mark
logo_2620,False,False,False,0.0,Abstract mark
lld_22496,False,False,False,0.0,Abstract mark
lld_13893,False,False,False,0.0,Abstract mark
lld_352,False,False,False,0.0,Abstract mark
lld_32685,False,True,False,0.64732421875,Wordmark
lld_23950,False,False,False,0.0,Abstract mark
lld_12555,False,False,False,0.0,Abstract mark
lld_2193,False,False,False,0.0,Abstract mark
logo_5629,False,True,False,0.2935546875,Combination mark
lld_12233,False,False,False,0.0,Abstract mark
logo_2146,False,True,False,0.100078125,Combination mark
lld_434,False,False,False,0.0,Abstract mark
lld_24959,False,False,False,0.0,Abstract mark
logo_3258,False,False,False,0.0,Abstract mark
lld_14642,False,False,False,0.0,Abstract mark
logo_10182,False,False,False,0.0,Abstract mark
lld_34592,True,False,True,0.0,Mascot logo
lld_5824,False,False,False,0.0,Abstract mark
lld_24781,False,False,False,0.0,Abstract mark
lld_35854,True,False,False,0.0,Pictorial mark
